idd	sex	w_truncation	w_conservation	w_uncertainty	ebv
11951	M	0.0	0.010910444090638832	0.021050672344335455	2.16257046751991
11952	F	0.02	0.02	0.02	1.87773286718433
11953	M	0.0	0.019151090693687728	0.01956783225567547	2.14836593215295
11954	F	0.02	0.02	0.02	2.0613898519156
11955	M	0.0	0.01645029997008735	0.018848827392719408	1.56531029518619
11956	F	0.02	0.02	0.02	2.17798771576732
11957	M	0.0	0.011916728568407082	0.018884156840095742	2.28428819699211
11958	F	0.02	0.02	0.02	1.88251743821103
11959	M	0.0	0.024334204585143397	0.018751079182653396	1.79620725215529
11960	F	0.02	0.02	0.02	1.84723990566263
11961	M	0.0	0.025593678516428388	0.019573135943850267	1.86059815815329
11962	F	0.02	0.02	0.02	2.16826524347894
11963	M	-0.0	0.013762486542779973	0.021094285124170397	2.42776365257983
11964	F	0.02	0.02	0.02	2.10118388199518
11965	M	0.0	0.023561706805804185	0.020435652810280803	1.94570118682371
11966	F	0.02	0.02	0.02	2.07903283583774
11967	M	0.0	0.011801983345186366	0.022390647534939575	2.32467306361711
11968	F	0.02	0.02	0.02	2.05482147975699
11969	M	0.0	0.023712078312331086	0.019643298134158806	1.90355087961916
11970	F	0.02	0.02	0.02	2.12712232866272
11971	M	0.0	0.016649577861112378	0.020600604052924475	2.23557952510184
11972	F	0.02	0.02	0.02	1.88629845714485
11973	M	0.0	0.017931105061598722	0.020775784955893738	2.19089637003726
11974	F	0.02	0.02	0.02	2.08954248903318
11975	M	0.0	0.024599522181660186	0.022322146290298963	2.3545467839049
11976	F	0.02	0.02	0.02	2.66926852112985
11977	M	0.0	0.01851360907983452	0.018269977718685698	1.94521431899929
11978	F	0.02	0.02	0.02	2.22732519224063
11979	M	0.0	0.025722622026869615	0.018779814621835707	1.94972976594695
11980	F	0.02	0.02	0.02	2.0083215692012
11981	M	0.5	0.017322564215930192	0.0206521933545791	2.4640711220255
11982	F	0.02	0.02	0.02	2.17768868894728
11983	M	0.0	0.018180208212026185	0.018186449841749403	1.95073462541297
11984	F	0.02	0.02	0.02	1.95158105543003
11985	M	0.0	0.014475879896064421	0.01955061131967688	1.84173515051578
11986	F	0.02	0.02	0.02	1.70186621097459
11987	M	0.0	0.017175924921464948	0.019217568940261973	1.91979347232619
11988	F	0.02	0.02	0.02	2.07954873000011
11989	M	0.0	0.03282637264080343	0.020574381491627287	1.93584948586745
11990	F	0.02	0.02	0.02	2.42922896963437
11991	M	0.0	0.022764935899308808	0.019536333882585175	1.90059665652453
11992	F	0.02	0.02	0.02	2.48983005984111
11993	M	0.0	0.022075223800228493	0.02027456597216319	1.97847196269577
11994	F	0.02	0.02	0.02	2.07301616921596
11995	M	0.0	0.024312558692058686	0.02042458801386171	2.07258579841405
11996	F	0.02	0.02	0.02	2.09068607552228
11997	M	0.0	0.018286640098531808	0.02025722689779726	2.14488154835994
11998	F	0.02	0.02	0.02	2.0153709072443
11999	M	0.0	0.027968553982013217	0.020338165083180062	2.20470657144987
12000	F	0.02	0.02	0.02	2.04844205745318
